Admin Level 0,Admin Level 1,Admin Level 2,
Uganda, Adjumani, East Moyo
Uganda, Apac, Kole
Uganda, Apac, Kwania
Uganda, Apac, Maruzi
Uganda, Apac, Oyam
Uganda, Arua, Arua Municipality
Uganda, Arua, Ayivu
Uganda, Arua, Koboko
Uganda, Arua, Madi-Okollo
Uganda, Arua, Maracha
Uganda, Arua, Terego
Uganda, Arua, Vurra
Uganda, Bugiri, Bukooli
Uganda, Bundibugyo, Bwamba
Uganda, Bundibugyo, Ntoroko
Uganda, Bushenyi, Buhweju
Uganda, Bushenyi, Bunyaruguru
Uganda, Bushenyi, Igara
Uganda, Bushenyi, Ruhinda
Uganda, Bushenyi, Sheema
Uganda, Busia, Samia-Bugwe
Uganda, Gulu, Aswa
Uganda, Gulu, Gulu
Uganda, Gulu, Kilak
Uganda, Gulu, Nwoya
Uganda, Gulu, Omoro
Uganda, Hoima, Bugahya
Uganda, Hoima, Buhaguzi
Uganda, Iganga, Bugweri
Uganda, Iganga, Busiki
Uganda, Iganga, Kigulu
Uganda, Iganga, Luuka
Uganda, Jinja, Butembe
Uganda, Jinja, Jinja
Uganda, Jinja, Kagoma
Uganda, Kabale, Kabale
Uganda, Kabale, Ndorwa
Uganda, Kabale, Rubanda
Uganda, Kabale, Rukiga
Uganda, Kabarole, Bunyangabu
Uganda, Kabarole, Burahya
Uganda, Kabarole, Fort Portal
Uganda, Kaberamaido, Kaberamaido
Uganda, Kaberamaido, Kalaki
Uganda, Kalangala, Bujumba
Uganda, Kalangala, Kyamuswa
Uganda, Kampala, Kampala
Uganda, Kamuli, Budiope
Uganda, Kamuli, Bugabula
Uganda, Kamuli, Bulamogi
Uganda, Kamuli, Buzaaya
Uganda, Kamwenge, Kibale
Uganda, Kamwenge, Kitagwenda
Uganda, Kanungu, Kinkiizi
Uganda, Kapchorwa, Kongasis
Uganda, Kapchorwa, Kween
Uganda, Kapchorwa, Tingey
Uganda, Kasese, Bukonjo
Uganda, Kasese, Busongora
Uganda, Katakwi, Amuria
Uganda, Katakwi, Kapelebyong
Uganda, Katakwi, Usuk
Uganda, Kayunga, Bbaale
Uganda, Kayunga, Ntenjeru
Uganda, Kibale, Bugangaizi
Uganda, Kibale, Buyaga
Uganda, Kibale, Buyanja
Uganda, Kiboga, Kiboga
Uganda, Kisoro, Kisoro
Uganda, Kitgum, Chua
Uganda, Kitgum, Lamwo
Uganda, Kotido, Dodoth
Uganda, Kotido, Jie
Uganda, Kotido, Labwor
Uganda, Kumi, Bukedea
Uganda, Kumi, Kumi
Uganda, Kumi, Ngora
Uganda, Kyenjojo, Kyaka
Uganda, Kyenjojo, Mwenge
Uganda, Lake Albert, Lake Albert
Uganda, Lake Victoria, Lake Victoria
Uganda, Lira, Dokolo
Uganda, Lira, Erute
Uganda, Lira, Kyoga
Uganda, Lira, Lira
Uganda, Lira, Moroto
Uganda, Lira, Otuke
Uganda, Luwero, Bamunanika
Uganda, Luwero, Katikamu
Uganda, Luwero, Nakaseke
Uganda, Masaka, Bukomansimbi
Uganda, Masaka, Bukoto
Uganda, Masaka, Kalungu
Uganda, Masaka, Masaka
Uganda, Masindi, Bujenje
Uganda, Masindi, Bujenje (?)
Uganda, Masindi, Buruli
Uganda, Masindi, Kibanda
Uganda, Mayuge, Bunya
Uganda, Mbale, Bubulo
Uganda, Mbale, Bungokho
Uganda, Mbale, Manjiya
Uganda, Mbale, Mbale
Uganda, Mbarara, Bukanga
Uganda, Mbarara, Ibanda
Uganda, Mbarara, Isingiro
Uganda, Mbarara, Kashari
Uganda, Mbarara, Kazo
Uganda, Mbarara, Mbarara
Uganda, Mbarara, Nyabushozi
Uganda, Mbarara, Rwampara
Uganda, Moroto, Bokora
Uganda, Moroto, Matheniko
Uganda, Moroto, Moroto
Uganda, Moyo, Obongi
Uganda, Moyo, West Moyo
Uganda, Mpigi, Butambala
Uganda, Mpigi, Gomba
Uganda, Mpigi, Mawokota
Uganda, Mubende, Busujju
Uganda, Mubende, Buwekula
Uganda, Mubende, Kassanda
Uganda, Mubende, Mityana
Uganda, Mukono, Buikwe
Uganda, Mukono, Buvuma Islands
Uganda, Mukono, Mukono
Uganda, Mukono, Nakifuma
Uganda, Nakapiripirit, Chekwii
Uganda, Nakapiripirit, Pian
Uganda, Nakapiripirit, Pokot
Uganda, Nakasongola, Buruli
Uganda, Nebbi, Jonam
Uganda, Nebbi, Okoro
Uganda, Nebbi, Padyere
Uganda, Ntungamo, Kajara
Uganda, Ntungamo, Ruhaama
Uganda, Ntungamo, Rushenyi
Uganda, Pader, Agago
Uganda, Pader, Aruu
Uganda, Pallisa, Budaka
Uganda, Pallisa, Butebo
Uganda, Pallisa, Kibuku
Uganda, Pallisa, Pallisa
Uganda, Rakai, Kabula
Uganda, Rakai, Kakuuto
Uganda, Rakai, Kooki
Uganda, Rakai, Kyotera
Uganda, Rukungiri, Bufumbira
Uganda, Rukungiri, Rubabo
Uganda, Sembabule, Lwemiyaga
Uganda, Sembabule, Mawogola
Uganda, Sironko, Budadiri
Uganda, Sironko, Bulambuli
Uganda, Sironko, Mt. Elgon Np
Uganda, Soroti, Kasilo
Uganda, Soroti, Serere
Uganda, Soroti, Soroti
Uganda, Soroti, Soroti  (Municipality)
Uganda, Tororo, Bunyole
Uganda, Tororo, Kisoko (West Budama)
Uganda, Tororo, Tororo
Uganda, Tororo, Tororo (Municipality)
Uganda, Wakiso, Busiiro
Uganda, Wakiso, Entebbe
Uganda, Wakiso, Jinja
Uganda, Yumbe, Aringa
